name,economy (mpg),cylinders,displacement (cc),power (hp),weight (lb),0-60 mph (s),year,Filler
Mercedes-Benz 280S,0.354077253,0.75,0.369230769,0.52173913,0.743190661,0.673387097,0.926829268,0.354077253
Mercedes-Benz 300D,0.545064378,0.625,0.402197802,0.334782609,0.686770428,0.810483871,0.963414634,0.545064378
Mercury Capri 2000,0.493562232,0.5,0.268131868,0.373913043,0.431906615,0.564516129,0.865853659,0.493562232
Mercury Capri V6,0.450643777,0.75,0.340659341,0.465217391,0.480933852,0.564516129,0.890243902,0.450643777
Mercury Cougar Brougham,0.321888412,1,0.663736264,0.565217391,0.835603113,0.600806452,0.93902439,0.321888412
Mercury Grand Marquis,0.354077253,1,0.771428571,0.6,0.769455253,0.532258065,0.963414634,0.354077253
Mercury Lynx L,0.772532189,0.5,0.215384615,0.304347826,0.413424125,0.697580645,1,0.772532189
Mercury Marquis Brougham,0.25751073,1,0.942857143,0.860869565,0.963424125,0.463709677,0.890243902,0.25751073
Mercury Marquis,0.236051502,1,0.942857143,0.904347826,0.901361868,0.443548387,0.87804878,0.236051502
Mercury Monarch Ghia,0.433476395,1,0.663736264,0.604347826,0.694552529,0.516129032,0.951219512,0.433476395
Mercury Monarch,0.321888412,0.75,0.549450549,0.313043478,0.66770428,0.846774194,0.914634146,0.321888412
Mercury Zephyr 6,0.424892704,0.75,0.43956044,0.369565217,0.581712062,0.733870968,0.963414634,0.424892704
Mercury Zephyr,0.446351931,0.75,0.43956044,0.369565217,0.597276265,0.673387097,0.951219512,0.446351931
Nissan Stanza XE,0.772532189,0.5,0.263736264,0.382608696,0.420233463,0.584677419,1,0.772532189
Oldsmobile Cutlass Ciera (Diesel),0.815450644,0.75,0.575824176,0.369565217,0.586575875,0.685483871,1,0.815450644
Oldsmobile Cutlass LS,0.570815451,1,0.769230769,0.456521739,0.724708171,0.766129032,0.987804878,0.570815451
Oldsmobile Cutlass Salon Brougham,0.427038627,1,0.571428571,0.47826087,0.654669261,0.625,0.951219512,0.427038627
Oldsmobile Cutlass Salon Brougham,0.512875536,1,0.571428571,0.391304348,0.66536965,0.89516129,0.963414634,0.512875536
Oldsmobile Cutlass Supreme,0.364806867,1,0.571428571,0.47826087,0.789883268,0.766129032,0.93902439,0.364806867
Oldsmobile Delta 88 Royale,0.25751073,1,0.769230769,0.695652174,0.86692607,0.544354839,0.87804878,0.25751073
Oldsmobile Omega Brougham,0.575107296,0.75,0.38021978,0.5,0.525291829,0.52016129,0.963414634,0.575107296
Oldsmobile Omega,0.236051502,1,0.769230769,0.782608696,0.712840467,0.443548387,0.890243902,0.236051502
Oldsmobile Starfire SX,0.510729614,0.5,0.331868132,0.369565217,0.555447471,0.709677419,0.951219512,0.510729614
Oldsmobile Vista Cruiser,0.25751073,1,0.769230769,0.782608696,0.875291829,0.504032258,0.890243902,0.25751073
Opel 1900,0.536480687,0.5,0.254945055,0.352173913,0.431906615,0.681451613,0.926829268,0.536480687
Opel 1900,0.600858369,0.5,0.254945055,0.391304348,0.413035019,0.564516129,0.865853659,0.600858369
Opel Manta,0.515021459,0.5,0.254945055,0.326086957,0.419844358,0.625,0.890243902,0.515021459
Opel Manta,0.557939914,0.5,0.213186813,0.339130435,0.447470817,0.584677419,0.902439024,0.557939914
Peugeot 304,0.643776824,0.5,0.173626374,0.304347826,0.403501946,0.786290323,0.865853659,0.643776824
Peugeot 504 (Wagon),0.450643777,0.5,0.263736264,0.37826087,0.579571984,0.786290323,0.87804878,0.450643777
Peugeot 504,0.407725322,0.5,0.263736264,0.382608696,0.63618677,0.883064516,0.926829268,0.407725322
Peugeot 504,0.493562232,0.5,0.263736264,0.382608696,0.575291829,0.685483871,0.914634146,0.493562232
Peugeot 504,0.536480687,0.5,0.241758242,0.37826087,0.519844358,0.705645161,0.853658537,0.536480687
Peugeot 504,0.583690987,0.5,0.30989011,0.308695652,0.620622568,1,0.963414634,0.583690987
Peugeot 505S Turbo Diesel,0.603004292,0.5,0.30989011,0.347826087,0.628404669,0.822580645,0.987804878,0.603004292
Peugeot 604SL,0.347639485,0.75,0.358241758,0.57826087,0.663424125,0.637096774,0.951219512,0.347639485
Plymouth Arrow GS,0.5472103,0.5,0.268131868,0.417391304,0.447470817,0.625,0.93902439,0.5472103
Plymouth Barracuda 340,0.300429185,1,0.747252747,0.695652174,0.702140078,0.322580645,0.853658537,0.300429185
Plymouth Champ,0.836909871,0.5,0.189010989,0.27826087,0.364785992,0.661290323,0.987804878,0.836909871
Plymouth Cricket,0.557939914,0.5,0.2,0.304347826,0.380350195,0.826612903,0.865853659,0.557939914
Plymouth Custom Suburb,0.278969957,1,0.791208791,0.739130435,0.905447471,0.524193548,0.890243902,0.278969957
Plymouth Duster,0.429184549,0.75,0.435164835,0.413043478,0.603501946,0.665322581,0.902439024,0.429184549
Plymouth Duster,0.472103004,0.75,0.435164835,0.413043478,0.551167315,0.625,0.853658537,0.472103004
Plymouth Duster,0.493562232,0.75,0.435164835,0.413043478,0.564980545,0.64516129,0.890243902,0.493562232
Plymouth Fury Gran Sedan,0.300429185,1,0.698901099,0.652173913,0.824319066,0.584677419,0.890243902,0.300429185
Plymouth Fury III,0.300429185,1,0.698901099,0.652173913,0.79688716,0.524193548,0.865853659,0.300429185
Plymouth Fury III,0.300429185,1,0.967032967,0.934782609,0.838910506,0.342741935,0.853658537,0.300429185
Plymouth Fury III,0.321888412,1,0.698901099,0.652173913,0.804474708,0.544354839,0.87804878,0.321888412
Plymouth Fury,0.386266094,0.75,0.494505495,0.413043478,0.736381323,0.766129032,0.914634146,0.386266094
Plymouth Grand Fury,0.343347639,1,0.698901099,0.652173913,0.875097276,0.584677419,0.914634146,0.343347639
Plymouth Horizon 4,0.744635193,0.5,0.230769231,0.273913043,0.430933852,0.600806452,0.987804878,0.744635193
Plymouth Horizon Miser,0.815450644,0.5,0.230769231,0.273913043,0.413424125,0.592741935,1,0.815450644
Plymouth Horizon TC3,0.740343348,0.5,0.230769231,0.304347826,0.418287938,0.600806452,0.963414634,0.740343348
Plymouth Horizon,0.733905579,0.5,0.230769231,0.304347826,0.428015564,0.532258065,0.963414634,0.733905579
Plymouth Reliant,0.583690987,0.5,0.296703297,0.365217391,0.484435798,0.633064516,0.987804878,0.583690987
Plymouth Reliant,0.643776824,0.5,0.296703297,0.365217391,0.464007782,0.52016129,0.987804878,0.643776824
Plymouth Sapporo,0.497854077,0.5,0.342857143,0.456521739,0.534046693,0.673387097,0.951219512,0.497854077
Plymouth Satellite (Wagon),0.15,1,0.841758242,0.760869565,0.810505837,0.423387097,0.853658537,0.15
Plymouth Satellite Custom (Wagon),0.300429185,1,0.698901099,0.652173913,0.793190661,0.564516129,0.87804878,0.300429185
Plymouth Satellite Custom,0.343347639,0.75,0.494505495,0.456521739,0.669066148,0.625,0.865853659,0.343347639
Plymouth Satellite Sebring,0.386266094,0.75,0.494505495,0.456521739,0.702918288,0.665322581,0.902439024,0.386266094
Plymouth Satellite,0.386266094,1,0.698901099,0.652173913,0.66848249,0.443548387,0.853658537,0.386266094
Plymouth Valiant Custom,0.407725322,0.75,0.494505495,0.413043478,0.635019455,0.64516129,0.914634146,0.407725322
Plymouth Valiant,0.386266094,0.75,0.494505495,0.456521739,0.607198444,0.665322581,0.890243902,0.386266094
Plymouth Valiant,0.472103004,0.75,0.494505495,0.434782609,0.628988327,0.620967742,0.926829268,0.472103004
Plymouth Volare Custom,0.407725322,0.75,0.494505495,0.434782609,0.706225681,0.713709677,0.93902439,0.407725322
Plymouth Volare Premier V8,0.278969957,1,0.698901099,0.652173913,0.766536965,0.532258065,0.926829268,0.278969957
Plymouth Volare,0.439914163,0.75,0.494505495,0.434782609,0.667315175,0.693548387,0.951219512,0.439914163
Pontiac Astro,0.493562232,0.5,0.307692308,0.339130435,0.504280156,0.745967742,0.914634146,0.493562232
Pontiac Catalina Brougham,0.300429185,1,0.879120879,0.760869565,0.86848249,0.463709677,0.865853659,0.300429185
Pontiac Catalina,0.300429185,1,0.879120879,0.760869565,0.85311284,0.483870968,0.87804878,0.300429185
Pontiac Catalina,0.300429185,1,1,0.97826087,0.860894942,0.403225806,0.853658537,0.300429185
Pontiac Catalina,0.343347639,1,0.879120879,0.739130435,0.908171206,0.463709677,0.914634146,0.343347639
Pontiac Firebird,0.407725322,0.75,0.549450549,0.434782609,0.638521401,0.60483871,0.865853659,0.407725322
Pontiac Grand Prix Lj,0.343347639,1,0.879120879,0.782608696,0.821011673,0.447580645,0.93902439,0.343347639
Pontiac Grand Prix,0.343347639,1,0.879120879,1,0.83229572,0.383064516,0.890243902,0.343347639
Pontiac J2000 Se Hatchback,0.665236052,0.5,0.246153846,0.369565217,0.500972763,0.653225806,1,0.665236052
Pontiac Lemans V6,0.461373391,0.75,0.507692308,0.5,0.631322957,0.620967742,0.963414634,0.461373391
Pontiac Phoenix LJ,0.412017167,0.75,0.507692308,0.456521739,0.687743191,0.774193548,0.951219512,0.412017167
Pontiac Phoenix,0.579399142,0.5,0.331868132,0.391304348,0.532101167,0.725806452,1,0.579399142
Pontiac Phoenix,0.71888412,0.5,0.331868132,0.391304348,0.497276265,0.532258065,0.963414634,0.71888412
Pontiac Safari (Wagon),0.278969957,1,0.879120879,0.760869565,1,0.483870968,0.865853659,0.278969957
Pontiac Sunbird Coupe,0.525751073,0.5,0.331868132,0.382608696,0.53307393,0.64516129,0.93902439,0.525751073
Pontiac Ventura Sj,0.396995708,0.75,0.549450549,0.47826087,0.709143969,0.653225806,0.926829268,0.396995708
Renault 12 (Wagon),0.557939914,0.5,0.210989011,0.3,0.425875486,0.725806452,0.87804878,0.557939914
Renault 12TL,0.579399142,0.5,0.221978022,0.360869565,0.428404669,0.616935484,0.926829268,0.579399142
Renault 18I,0.740343348,0.5,0.21978022,0.15,0.451361868,0.637096774,0.987804878,0.740343348
Renault 5 Gtl,0.772532189,0.5,0.173626374,0.252173913,0.355058366,0.75,0.93902439,0.772532189
Renault Lecar Deluxe,0.877682403,0.5,0.186813187,0.15,0.357003891,0.697580645,0.975609756,0.877682403
Saab 900S,0.15,0.5,0.265934066,0.47826087,0.544747082,0.620967742,0.987804878,0.15
Saab 99E,0.536480687,0.5,0.228571429,0.413043478,0.462062257,0.705645161,0.853658537,0.536480687
Saab 99GLE,0.463519313,0.5,0.265934066,0.5,0.543774319,0.633064516,0.951219512,0.463519313
Saab 99LE,0.515021459,0.5,0.265934066,0.47826087,0.517509728,0.564516129,0.890243902,0.515021459
Saab 99LE,0.536480687,0.5,0.265934066,0.5,0.519649805,0.544354839,0.914634146,0.536480687
Subaru DL,0.643776824,0.5,0.213186813,0.291304348,0.38618677,0.661290323,0.93902439,0.643776824
Subaru DL,0.725321888,0.5,0.213186813,0.291304348,0.417315175,0.725806452,0.975609756,0.725321888
Subaru,0.557939914,0.5,0.237362637,0.404347826,0.465175097,0.625,0.902439024,0.557939914
Subaru,0.693133047,0.5,0.213186813,0.291304348,0.401750973,0.717741935,0.987804878,0.693133047
Toyota Carina,0.429184549,0.5,0.213186813,0.382608696,0.443385214,0.766129032,0.890243902,0.429184549
Toyota Celica GT Liftback,0.4527897,0.5,0.294505495,0.413043478,0.489299611,0.596774194,0.951219512,0.4527897
Toyota Celica GT,0.686695279,0.5,0.316483516,0.417391304,0.51848249,0.560483871,1,0.686695279
Toyota Corolla 1200,0.665236052,0.5,0.156043956,0.282608696,0.344941634,0.766129032,0.865853659,0.665236052
Toyota Corolla 1200,0.686695279,0.5,0.156043956,0.282608696,0.357198444,0.846774194,0.902439024,0.686695279
Toyota Corolla 1600 (Wagon),0.579399142,0.5,0.213186813,0.382608696,0.408560311,0.665322581,0.87804878,0.579399142
Toyota Corolla Liftback,0.557939914,0.5,0.213186813,0.326086957,0.440661479,0.733870968,0.93902439,0.557939914
Toyota Corolla Tercel,0.817596567,0.5,0.195604396,0.260869565,0.382879377,0.758064516,0.975609756,0.817596567
Toyota Corolla,0.600858369,0.5,0.213186813,0.326086957,0.4192607,0.661290323,0.926829268,0.600858369
Toyota Corolla,0.622317597,0.5,0.213186813,0.326086957,0.422373541,0.64516129,0.914634146,0.622317597
Toyota Corolla,0.690987124,0.5,0.237362637,0.326086957,0.440661479,0.612903226,0.975609756,0.690987124
Toyota Corolla,0.69527897,0.5,0.237362637,0.326086957,0.457198444,0.677419355,0.987804878,0.69527897
Toyota Corolla,0.729613734,0.5,0.237362637,0.304347826,0.436770428,0.681451613,1,0.729613734
Toyota Corona Hardtop,0.515021459,0.5,0.248351648,0.413043478,0.443190661,0.625,0.87804878,0.515021459
Toyota Corona Liftback,0.639484979,0.5,0.294505495,0.391304348,0.527431907,0.625,0.975609756,0.639484979
Toyota Corona Mark II,0.515021459,0.5,0.248351648,0.413043478,0.461478599,0.60483871,0.853658537,0.515021459
Toyota Corona,0.515021459,0.5,0.294505495,0.417391304,0.525680934,0.544354839,0.914634146,0.515021459
Toyota Corona,0.536480687,0.5,0.248351648,0.413043478,0.433463035,0.564516129,0.865853659,0.536480687
Toyota Corona,0.590128755,0.5,0.294505495,0.413043478,0.498054475,0.572580645,0.951219512,0.590128755
Toyota Corona,0.665236052,0.5,0.167032967,0.226086957,0.320817121,0.665322581,0.902439024,0.665236052
Toyota Cressida,0.545064378,0.75,0.369230769,0.504347826,0.564202335,0.508064516,0.987804878,0.545064378
Toyota Mark II,0.407725322,0.75,0.342857143,0.469565217,0.570038911,0.625,0.926829268,0.407725322
Toyota Mark II,0.429184549,0.75,0.342857143,0.530434783,0.546108949,0.544354839,0.890243902,0.429184549
Toyota Starlet,0.839055794,0.5,0.173626374,0.252173913,0.341439689,0.681451613,0.987804878,0.839055794
Toyota Tercel,0.809012876,0.5,0.195604396,0.269565217,0.398832685,0.697580645,0.987804878,0.809012876
Toyouta Corona Mark II (Wagon),0.493562232,0.5,0.263736264,0.42173913,0.487548638,0.584677419,0.87804878,0.493562232
Triumph TR7 Coupe,0.751072961,0.5,0.268131868,0.382608696,0.486381323,0.608870968,0.975609756,0.751072961
Vokswagen Rabbit,0.639484979,0.5,0.195604396,0.269565217,0.358949416,0.616935484,0.975609756,0.639484979
Volkswagen 1131 Deluxe Sedan,0.557939914,0.5,0.213186813,0.2,0.357003891,0.826612903,0.853658537,0.557939914
Volkswagen 411 (Wagon),0.472103004,0.5,0.265934066,0.330434783,0.488521401,0.725806452,0.87804878,0.472103004
Volkswagen Dasher (Diesel),0.931330472,0.5,0.197802198,0.208695652,0.454280156,0.955645161,0.975609756,0.931330472
Volkswagen Dasher,0.536480687,0.5,0.197802198,0.308695652,0.432490272,0.665322581,0.914634146,0.536480687
Volkswagen Dasher,0.557939914,0.5,0.173626374,0.291304348,0.381906615,0.625,0.902439024,0.557939914
Volkswagen Dasher,0.654506438,0.5,0.213186813,0.339130435,0.426070039,0.568548387,0.93902439,0.654506438
Volkswagen Jetta,0.708154506,0.5,0.230769231,0.32173913,0.426070039,0.572580645,0.987804878,0.708154506
Volkswagen Model 111,0.579399142,0.5,0.213186813,0.260869565,0.356809339,0.766129032,0.865853659,0.579399142
Volkswagen Pickup,0.944206009,0.5,0.213186813,0.226086957,0.414396887,0.991935484,1,0.944206009
Volkswagen Rabbit C (Diesel),0.950643777,0.5,0.197802198,0.208695652,0.405642023,0.875,0.975609756,0.950643777
Volkswagen Rabbit Custom Diesel,0.924892704,0.5,0.197802198,0.208695652,0.38618677,0.866935484,0.951219512,0.924892704
Volkswagen Rabbit Custom,0.622317597,0.5,0.213186813,0.339130435,0.377431907,0.584677419,0.93902439,0.622317597
Volkswagen Rabbit Custom,0.684549356,0.5,0.195604396,0.308695652,0.374513619,0.564516129,0.963414634,0.684549356
Volkswagen Rabbit L,0.772532189,0.5,0.230769231,0.32173913,0.385214008,0.616935484,1,0.772532189
Volkswagen Rabbit,0.622317597,0.5,0.197802198,0.304347826,0.376848249,0.564516129,0.914634146,0.622317597
Volkswagen Rabbit,0.622317597,0.5,0.197802198,0.304347826,0.376848249,0.572580645,0.926829268,0.622317597
Volkswagen Rabbit,0.63304721,0.5,0.213186813,0.308695652,0.355058366,0.491935484,0.926829268,0.63304721
Volkswagen Rabbit,0.89055794,0.5,0.215384615,0.330434783,0.417120623,0.592741935,0.975609756,0.89055794
Volkswagen Scirocco,0.675965665,0.5,0.195604396,0.308695652,0.387159533,0.600806452,0.951219512,0.675965665
Volkswagen Super Beetle 117,0.15,0.5,0.213186813,0.208695652,0.384824903,0.806451613,0.865853659,0.15
Volkswagen Super Beetle,0.557939914,0.5,0.213186813,0.2,0.379377432,0.846774194,0.890243902,0.557939914
Volkswagen Type 3,0.493562232,0.5,0.213186813,0.234782609,0.438521401,0.947580645,0.87804878,0.493562232
Volvo 144EA,0.407725322,0.5,0.265934066,0.486956522,0.557976654,0.625,0.890243902,0.407725322
Volvo 145E (Wagon),0.386266094,0.5,0.265934066,0.486956522,0.570622568,0.584677419,0.87804878,0.386266094
Volvo 244DL,0.472103004,0.5,0.265934066,0.426086957,0.572957198,0.584677419,0.914634146,0.472103004
Volvo 245,0.429184549,0.5,0.285714286,0.443478261,0.612840467,0.633064516,0.926829268,0.429184549
Volvo 264GL,0.364806867,0.75,0.358241758,0.543478261,0.610894942,0.548387097,0.951219512,0.364806867
Volvo Diesel,0.658798283,0.75,0.318681319,0.330434783,0.614785992,0.790322581,0.987804878,0.658798283
